time,x,y,v_x,v_y
42163200.0,-236717126661.15756,-52290336875.88965,4042.7954588072794,-22940.642568500367
42206400.0,-236000372793.46814,-56250435140.752235,4423.146549057626,-22854.796160481634
42249600.0,-235217991742.14948,-60195405465.249985,4801.437962743284,-22762.80165438547
42292800.0,-234370343869.32242,-64124187951.93406,5177.576636774695,-22664.711535682756
42336000.0,-233457805553.89832,-68035731828.82081,5551.470861400917,-22560.5794575426
42379200.0,-232480768957.48978,-71928995649.54834,5923.030284950795,-22450.460206911255
42422400.0,-231439641789.53876,-75802947487.69344,6292.165917807016,-22334.40967105398
42465600.0,-230334847071.79337,-79656565125.32957,6658.79013563968,-22212.48480457205
42508800.0,-229166822902.2605,-83488836235.90848,7022.816681925859,-22084.743596905988
42552000.0,-227936022218.75574,-87298758561.54994,7384.16066978144,-21951.2450403352
42595200.0,-226642912562.16888,-91085340084.82599,7742.73858313139,-21812.04909848317
42638400.0,-225287975839.55734,-94847599195.12706,8098.468277244308,-21667.216675336393
42681600.0,-223871708087.1769,-98584564849.6997,8451.268978656939,-21516.80958478434
42724800.0,-222394619233.55328,-102295276729.44566,8801.061284514004,-21360.890520686848
42768000.0,-220857232862.6948,-105978785389.57405,9147.767161348454,-21199.52302747445
42811200.0,-219260085977.54163,-109634152405.19899,9491.309943326922,-21032.771471286334
42854400.0,-217603728763.74255,-113260450511.97552,9831.614329984774,-20860.701011649777
42897600.0,-215888724353.84677,-116856763741.86775,10168.6063834749,-20683.37757370421
42940800.0,-214115648591.99295,-120422187554.1434,10502.213525353984,-20500.867820972137
42984000.0,-212285089799.1753,-123955828961.68927,10832.364532929523,-20313.239128678673
43027200.0,-210397648539.1604,-127456806652.7426,11158.989535190645,-20120.55955762043
43070400.0,-208453937385.12656,-130924251108.13316,11482.02000834522,-19922.89782858412
43113600.0,-206454580687.0919,-134357304714.13104,11801.388770985393,-19720.323297314437
43156800.0,-204400214340.19498,-137755121870.99506,12117.029978903316,-19512.905930030123
43200000.0,-202291485553.88696,-141116869097.31653,12428.879119578247,-19300.71627948669
43243200.0,-200129052622.09137,-144441725130.2525,12736.873006355932,-19083.82546158353
43286400.0,-197913584694.3833,-147728881021.74265,13040.94977234064,-18862.305132512724
